SIAP_crop	FAO_code	FAO_crop	crop_group	crop_importance
trigo	15	Wheat	Cereals	
arroz	27	"Rice, paddy"	Cereals	
cebada	44	Barley	Cereals	
maiz	56	Maize	Cereals	traditional
centeno	71	Rye	Cereals	
avena	75	Oats	Cereals	
mijo	79	Millet	Cereals	
sorgo	83	Sorghum	Cereals	
quinoa	92	Quinoa	Cereals	
triticale	97	Triticale	Cereals	
alpiste	101	Canary seed	Cereals	
amaranto	108	"Cereals, nes"	Cereals	traditional
papa	116	Potatoes	Roots and tubers	
camote	122	Sweet potatoes	Roots and tubers	
yuca	125	Cassava	Roots and tubers	
macal	136	Taro (cocoyam)	Roots and tubers	
malanga	136	Taro (cocoyam)	Roots and tubers	
barbasco	149	"Roots and tubers, nes"	Roots and tubers	
betabel	149	"Roots and tubers, nes"	Roots and tubers	
jicama	149	"Roots and tubers, nes"	Roots and tubers	
remolacha	149	"Roots and tubers, nes"	Roots and tubers	
cana	156	Sugar cane	Sugar crops and sweetners	
cana de azucar	156	Sugar cane	Sugar crops and sweetners	
stevia	161	"Sugar crops, nes"	Sugar crops and sweetners	
frijol	176	"Beans, dry"	Pulses	traditional
haba	181	"Broad beans, horse beans, dry"	Pulses	
arvejon	187	"Peas, dry"	Pulses	
garbanzo	191	Chick peas	Pulses	
lenteja	201	Lentils	Pulses	
maranon	217	"Cashew nuts, with shell"	Nuts	
almendra	221	"Almonds, with shell"	Nuts	
nuez	222	"Walnuts, with shell"	Nuts	
nuez criolla	222	"Walnuts, with shell"	Nuts	
nuez de castilla	222	"Walnuts, with shell"	Nuts	
pistache	223	Pistachios	Nuts	
avellana	225	"Hazelnuts, with shell"	Nuts	
macadamia	234	"Nuts, nes"	Nuts	
pinon	234	"Nuts, nes"	Nuts	
soya	236	Soybeans	Oils	
cacahuate	242	"Groundnuts, with shell"	Oils	
coco	249	Coconuts	Oils	
copra	249	Coconuts	Oils	
palma africana	254	"Oil, palm fruit"	Oils	
aceituna	260	Olives	Oils	
higuerilla	265	Castor oil seed	Oils	
flor girasol	267	Sunflower seed	Oils	
girasol	267	Sunflower seed	Oils	
canola	270	Rapeseed	Oils	
colza	270	Rapeseed	Oils	
jojoba	277	Jojoba seed	Oils	
cartamo	280	Safflower seed	Oils	
ajonjoli	289	Sesame seed	Oils	
mostaza	292	Mustard seed	Oils	
algodon	328	Seed cotton	Oils	
flor linaza	333	Linseed	Oils	
linaza	333	Linseed	Oils	
chia	339	Oilseeds nes	Oils	
jatropha	339	Oilseeds nes	Oils	
moringa	339	Oilseeds nes	Oils	
bock choy	358	Cabbages and other brassicas	Vegetables	
choy sum	358	Cabbages and other brassicas	Vegetables	
col	358	Cabbages and other brassicas	Vegetables	
col de bruselas	358	Cabbages and other brassicas	Vegetables	
gailan	358	Cabbages and other brassicas	Vegetables	
kale	358	Cabbages and other brassicas	Vegetables	
keel	358	Cabbages and other brassicas	Vegetables	
pak choy	358	Cabbages and other brassicas	Vegetables	
rapini	358	Cabbages and other brassicas	Vegetables	
alcachofa	366	Artichokes	Vegetables	
esparrago	367	Asparagus	Vegetables	
lechuga	372	Lettuce and chicory	Vegetables	
espinaca	373	Spinach	Vegetables	
jitomate	388	Tomatoes	Vegetables	
tomate	388	Tomatoes	Vegetables	traditional
brocoli	393	Cauliflowers and broccoli	Vegetables	
coliflor	393	Cauliflowers and broccoli	Vegetables	
napa	393	Cauliflowers and broccoli	Vegetables	
calabacita	394	"Pumpkins, squash and gourds"	Vegetables	
calabaza	394	"Pumpkins, squash and gourds"	Vegetables	traditional
chayote	394	"Pumpkins, squash and gourds"	Vegetables	traditional
chilacayote	394	"Pumpkins, squash and gourds"	Vegetables	
pepino	397	Cucumbers and gherkins	Vegetables	
berenjena	399	Eggplants (aubergines)	Vegetables	
chile	401	"Chillies and peppers, green"	Vegetables	traditional
cebolla	402	"Onions, shallots, green"	Vegetables	
cebollin	402	"Onions, shallots, green"	Vegetables	
chives	402	"Onions, shallots, green"	Vegetables	
ajo	406	Garlic	Vegetables	
poro	407	"Leeks, other alliaceous vegetables"	Vegetables	
ejote	414	"Beans, green"	Vegetables	
vainita	414	"Beans, green"	Vegetables	
chicharo	417	"Peas, green"	Vegetables	
nabo	426	Carrots and turnips	Vegetables	
