,region,index,term,estimate,std.error,statistic,p.value
1,central,abundance,year,0.00890966,0.002130684,4.181595643,significant
6,central_west,abundance,year,0.00550688,0.002234788,2.464161985,significant
11,north_east,abundance,year,0.002637317,0.002430945,1.084893864,non significant
16,north_west,abundance,year,0.004188981,0.002110285,1.985031031,significant
21,south,abundance,year,0.007361695,0.002080082,3.539137738,significant
2,central,encs,year,0.046684014,0.010860754,4.298413704,significant
7,central_west,encs,year,0.042101518,0.011549732,3.645237737,significant
12,north_east,encs,year,0.013908271,0.012681961,1.096697234,non significant
17,north_west,encs,year,0.051221587,0.017858691,2.868160213,significant
22,south,encs,year,0.029009584,0.008436564,3.438554454,significant
3,central,evenness,year,0.00104409,0.000542383,1.92500434,non significant
8,central_west,evenness,year,0.00061967,0.00060635,1.021966603,non significant
13,north_east,evenness,year,0.000230572,0.000694195,0.332143296,non significant
18,north_west,evenness,year,-0.000153871,0.000561624,-0.273974526,non significant
23,south,evenness,year,0.000895903,0.000639857,1.400162106,non significant
4,central,richness,year,0.692567568,0.095162156,7.277762476,significant
9,central_west,richness,year,0.34589853,0.112449189,3.076042895,significant
14,north_east,richness,year,0.17184854,0.054613427,3.146635335,significant
19,north_west,richness,year,0.443432907,0.067409894,6.578157582,significant
24,south,richness,year,0.329935198,0.094417784,3.494417954,significant
5,central,simpson,year,0.002573983,0.000802377,3.207945297,significant
10,central_west,simpson,year,-0.000338885,0.000851762,-0.397863539,non significant
15,north_east,simpson,year,5.89E-05,0.00074286,0.079241836,non significant
20,north_west,simpson,year,-0.000985423,0.000765605,-1.287116247,non significant
25,south,simpson,year,0.001094326,0.000859421,1.273328667,non significant
