"","region","state","year","abundance","simpson","richness","evenness","encs"
"1","central","distrito federal",1980,1.77094103360961,0.735960403494821,23,0.564804433257365,5.87638063197855
"2","central","distrito federal",1981,1.0352126061342,0.458255461598249,23,0.33015930977485,2.81570480810602
"3","central","distrito federal",1982,1.45831803079766,0.558606126987797,32,0.420781638214149,4.29872312444226
"4","central","distrito federal",1983,1.12881233820074,0.569005489266045,24,0.355189810638654,3.09198208956631
"5","central","distrito federal",1984,1.39856018037318,0.596193347570346,25,0.434487149074924,4.04936541170318
"6","central","distrito federal",1985,1.56083365495468,0.648534190289101,28,0.46840872167015,4.76279011415108
"7","central","distrito federal",1986,1.54774152550235,0.593431030772188,33,0.442653561673755,4.70084145421077
"8","central","distrito federal",1987,1.56850633608948,0.597897868562025,37,0.434378840515066,4.79947403606162
"9","central","distrito federal",1988,1.60539112118066,0.612583065947006,36,0.447992922250973,4.97980692986026
"10","central","distrito federal",1989,1.52481708235219,0.598774493872095,34,0.432405328867549,4.59430311332312
"11","central","distrito federal",1990,1.46053029598816,0.589310724648257,35,0.410798118982566,4.30824356696301
"12","central","distrito federal",1991,1.515414407235,0.612841622946795,34,0.429738932436567,4.55130683057332
"13","central","distrito federal",1992,1.63166775623631,0.661590526423607,34,0.462705881842277,5.11239383936178
"14","central","distrito federal",1993,1.75908492172757,0.68204464771855,34,0.498838649493741,5.8071209920662
"15","central","distrito federal",1994,1.77151152533267,0.69101397969945,27,0.537499760259779,5.87973401493831
"16","central","distrito federal",1995,1.87908823069291,0.711286988600581,34,0.532869006891304,6.54753230081678
"17","central","distrito federal",1996,1.87158673549257,0.70861725293565,34,0.53074174419426,6.49859978167925
"18","central","distrito federal",1997,1.92623072114046,0.719967597306905,34,0.546237603243963,6.86359063607329
"19","central","distrito federal",1998,2.14483301201892,0.776624720856139,34,0.608228511250244,8.54061493816427
"20","central","distrito federal",1999,1.95499025939037,0.727459592030362,34,0.554393189732966,7.06385021715864
"21","central","distrito federal",2000,2.0223814810779,0.743758931802183,34,0.573503890756613,7.55629870545443
"22","central","distrito federal",2001,2.06709741508727,0.754940293656726,34,0.586184367893656,7.90185399686978
"23","central","distrito federal",2002,1.98933764765249,0.74137775238796,34,0.564133370302241,7.31068990569582
"24","central","distrito federal",2003,1.89455917373318,0.740748300564651,34,0.537256233589274,6.64961643284737
"25","central","distrito federal",2004,1.8605060172732,0.730576637908288,36,0.519184089501356,6.42698811574279
"26","central","distrito federal",2005,1.97358681273962,0.760309900176195,39,0.538707138946223,7.1964425435103
"27","central","distrito federal",2006,1.91014015280564,0.74114576285533,39,0.521388838870392,6.75403532920104
"28","central","distrito federal",2007,1.85458954870043,0.730564279830781,39,0.506225833721047,6.3890753080994
"29","central","distrito federal",2008,1.88015572116502,0.737307425513123,40,0.509682071358614,6.55452546106564
"30","central","distrito federal",2009,1.88646752305426,0.740245281523975,40,0.511393106367414,6.59602716473808
"31","central","distrito federal",2010,1.92868327244225,0.74933161707283,40,0.522837164085513,6.88044460338442
"32","central","distrito federal",2011,1.94496240444293,0.752711176756822,40,0.527250193083392,6.99336893048987
"33","central","distrito federal",2012,1.98121873140424,0.763595722105573,40,0.537078740590109,7.25157532452133
"34","central","distrito federal",2013,1.95771218459227,0.756227710897314,41,0.527177647135225,7.08310368044345
"35","central","distrito federal",2014,2.11898808351284,0.787583914265155,41,0.570606425686895,8.32271133630687
"36","central","distrito federal",2015,2.14735813962368,0.798615997615881,40,0.582116647164734,8.56220833227028
"37","central","distrito federal",2016,2.13332046892962,0.800722181293037,41,0.57446588637847,8.44285455573712
"38","central","guerrero",1980,1.29378414548232,0.482983354283725,47,0.336034947051817,3.6465595917364
"39","central","guerrero",1981,1.36266646116239,0.524020271019324,46,0.355913839936008,3.90659621323155
