"","region","state","crop","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","central","distrito federal","aceituna",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,1,0.5
"2","central","distrito federal","acelga",NA,NA,NA,42,47,63,141,178,167,142,72,116,112,181,211,191,212,216,231,228,293,303,287,62,73,73,72,67,72,71,72,51.3,50,43.3,39.3,47,41.6
"3","central","distrito federal","aguacate",23,23,23,12,8,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","central","distrito federal","amaranto",NA,NA,60,10,50,133,165,219,73,101,120,166,73,150,197,161,192,187,213,252,213,292,183,176,145,139,132,132,137,137,137,137,138,136,142.2,141,171.7
"5","central","distrito federal","apio",NA,8,10,32,10,15,19,28,19,27,27,52,26,107,181,147,155,197,200,177,187,208,175,69,67,127,134,99,138,137,143,130.5,107,98,87,56,37.3
"6","central","distrito federal","avena",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","central","distrito federal","betabel",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,15,22,2,15,16,36,36,38,54,43,48,43,42,11,8,8,8,8,3,3,4,3,1,1,1,1,0.5
"8","central","distrito federal","brocoli",NA,NA,NA,NA,NA,NA,NA,20,20,55,13,73,109,135,133,173,207,222,285,228,292,368,373,917,952,1001,944,840,1030,1039,1037,953,718.5,582,506.5,451,507.5
"9","central","distrito federal","calabacita",NA,NA,109,NA,NA,NA,81,41,106,104,94,87,121,93,125,140,128,181,209,189,198,213,166,92,97.99,104,104,101,108,103,102,93,87,81,82.8,83,83.7
"10","central","distrito federal","calabaza",NA,92,80,70,29,8,NA,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
"11","central","distrito federal","capulin",90,80,60,57,30,42,38,34,37,37,28,12,29,29,26,35,25.8,26,26,25.8,25.8,24.8,24.1,24.1,23,24.2,20.9,21.2,21.2,19.2,19.2,19.2,19.2,19.2,18.7,19,19.4
"12","central","distrito federal","cebada",96,10,NA,NA,NA,NA,NA,20,75,NA,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","central","distrito federal","chabacano",45,20,22,32,26,20,16,20,24,24,17,2,24,24,NA,24,19,19,19,19,19,18,17.7,17.7,16.7,16.7,11.7,11.7,11.7,11.7,11.7,11.7,13.35,14.35,14.35,15,15.15
"14","central","distrito federal","chicharo",1050,720,1020,92,187,489,489,507,437,425,480,277,383,370,235,360,266,248,217,155,153,101,88,46,60,42,51,43,26,24,25,23,25,8,26,30,9.5
"15","central","distrito federal","chilacayote",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,7,7,7,6,6,5,5,3,4
"16","central","distrito federal","chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,36,36,38,44,26,38,56,43,56,42,42,25,28,30,33,9,10,5,5,4,3,2.5,2.5,3,2.5
"17","central","distrito federal","cilantro",NA,NA,46,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,12,12,11,35,35,33,23,41,42.5,39.5,28,36.5
"18","central","distrito federal","ciruela",NA,NA,24,99,75,65,65,55,54,54,46,7,43,43,30,22,40,40,40,40,40,42,42,42,42.4,46.7,42.85,42.85,43.85,48.15,48.15,48.35,48.45,49.45,50.55,55,58.12
"19","central","distrito federal","col",60,66,393,NA,4,16,109,47,58,63,18,50,39,115,135,112,104,128,136,103,123,131,98,8.5,12.5,7.5,7.5,7.5,6,4.4,4.5,4,2.5,1,1.5,2,1.5
"20","central","distrito federal","coliflor",68,16,141,NA,NA,NA,67,48,58,44,72,67,95,160,175,190,187,187,211,185,227,256,171,40,34.5,33.2,32.5,30.5,26.5,22.2,26.5,20,10,9,10,3,1.8
"21","central","distrito federal","durazno",48,25,42,115,59,80,61,61,62,53,44,26,38,38,NA,27,31.3,31,31,31,31,29,28.3,28.3,28.3,31.1,27.6,27.6,30.6,29.8,29.8,30.4,30.5,32.5,35.6,39,41.46
