"","region","crop","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","central","aceituna",23,12,7,NA,3,NA,3,NA,NA,NA,NA,7,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,58.2,58.7,58.7,59,58.7
"2","central","acelga",124,38,43,44,47,67,221,346,357,272,217,304,306,356,444,418,1285,555,613,694,719,810,748,536.4,487.4,450,466,457,472,456,446,402.39,401,524.3,509.5,498,518.1
"3","central","agave",NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,270,420.2,204.9,849,459,525,557,805.8,420.4,581,468.5,558,739.3
"4","central","aguacate",13226,13929,13796,16433,13811,13140,12898,12042,12014,9679,8401,10060,8667,7834,8109,7894,8358,8246,8177,8354,8398,8310,7925.1,7895.7,8081.4,8184.3,8953.61,9125.74,8991.3,9047.3,9243.49,9422.4,10947.99,13696.3,15000.69,17083,19152.6
"5","central","ajo",1317,1108,804,522,525,626,574,464,744,346,439,700,851,621,632,626,634,708,865,1146,613,676,627,652,675.75,556,731,656,619,666,632,581,610,681.4,989,897,916.56
"6","central","ajonjoli",61017,45561,23578,26985,27645,27188,15805,17872,18591,16541,14502,13210,9724,9642,5896,8641,15524,3206,5569,5214,6232.5,6477,6402.2,6506.5,6695.5,6477.5,6617.5,6490.5,7550,7878,18423.7,16614.25,12558.25,10764.98,18317.75,17686,19640.48
"7","central","albahaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,19,23,11,6,23,15,25,53,51,24,11.2,13,29.5,36.9,26,27,26,13,63.3,100.9,42.2,108,145.8
"8","central","alcachofa",NA,NA,4,NA,NA,9,23,44,64,40,53,33,96,38,6,21,11,22,24,24,104,201,155.5,179.5,120,159,131,124,107,99,80,104,77,103,92,75,72.5
"9","central","almendra",2,NA,6,6,NA,NA,NA,21,21,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","central","amaranto",NA,NA,435,10,60,601,415,795,613,891,803,653,488,626,784,809,1372,2830,1763,3182,3074,3134,2512,1369,1965,1999,2112,2013,2998,2949,3072,2859.1,3289.8,3646.5,4954.2,6301,4469.2
"11","central","anis",86,40,59,17,15,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","central","anona",240,204,204,24,27,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","central","apio",NA,8,10,32,10,15,19,30,19,27,29,53,34,109,187,172,170,250,263,224,244,387,365,258,281,348,337,302,351,320,315,313.25,254,270,224,200,177.8
"14","central","arandano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,155
"15","central","arroz",22565,21238,24842,17757,19010,34580,30098,28903,33685,30525,28490,30959,26017,28052,29569,27998,35149,41649,42267,30417.25,33772.6,15277.3,13758.44,14032.91,11106.84,10057.47,12199.88,13043.72,11193.53,12450.78,8669.15,7918,5460.91,6267.2,7342.33,5310,6051.2
"16","central","arvejon",9769,5392,2655,1871,4511,2290,2811,3175,3164,2146,2991,3249,3350,2816,2382,2184,2508,2292,1695,2405.76,2822.5,3566.5,3033.05,3813.5,2483,1687.5,3323,3496.25,1716,2319,1942.5,1224,2414,1865.5,2265.6,2206,1826.65
"17","central","avena",16702,11838,10653,17147,8055,12537,4806,5044,4704,6153,4753,5622,4534,6780,4276,3327,5031,3589,5241,3712.77,5250,5679,8513,7859,14253,16821,10606,13054.5,15161.5,15191,18762.5,24615,17954.5,16671,20533.5,15077,14059.6
"18","central","bangana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,31,1,18,4,5,13,14,12,3,2.5,NA,NA,NA,NA,NA,NA,3,3,3,7,5,6,8,8.7
"19","central","barbasco",2017,1000,995,992,999,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","central","berenjena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,54,19,26,20,99,33,4,30,31,6.5,21.5,22,21.3,22.5,18,13,5,13.5,10,6,7.5,10,13,13.5
"21","central","berro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","central","betabel",52,19,21,31,68,17,149,204,273,234,305,390,313,402,275,318,317,586,544,625,550,621.49,540,441.5,416,490.5,506,483,412,409,416.37,423.5,420,444.4,421,468,525.3
"23","central","blueberry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,200,200,200,200,115,110,60,60,60,60,60,60,56,14,62,62,67,67,67,177,108,NA,NA
"24","central","brocoli",NA,NA,NA,NA,NA,NA,NA,20,20,55,13,80,109,135,195,200,305,363,738,1672,1588,1552,1560,1942.5,1861,2790.4,2413,2461.3,2572.5,2601.25,2821,2717.17,2743,2686,3614,3582,3762.45
"25","central","cacahuate",30795,30697,15680,36236,38898,39804,37799,36139,36204,37967,35583,36689,38095,32856,32510,32921,31331,30840,31497,31221.2,27881,26808.5,22225,6872.1,19436.25,9517.55,15710.3,11808.45,11696,10341.2,11386.05,12586.3,10742.45,10073,11261.71,10744,11693.53
"26","central","cacao",266,271,177,85,85,NA,NA,11,113,NA,NA,NA,28,34,54,142,230,230,245,245,245,245,245,186,250,246,261,240,240,240,240,240,238,235,235,237,237
"27","central","cafe",191570,194157,204713,218668,178465,202407,267691,286076,316074,277223,221009,239823,246392,275841,297454,302721,298074,294692,283256.5,299233,300606.94,288816.28,290796.28,301624.09,306993.82,303362.04,304535.75,308732.36,302542.89,301183.27,285038.07,271003.86,272510.69,266349.7,265441.01,262044,256069.83
"28","central","caimito",NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2,1.8,2,1.5
"29","central","calabacita",9047,2993,7635,3059,4861,4064,7632,6875,7948,9837,8184,8714,9252,8746,8629,9513,7611,6784,8330,9534.6,9478.89,10862.54,13313.75,9404.15,8950.39,9311.8,10339.87,10327.67,9594.7,8771.8,9090.25,9463.51,8888.75,9477.4,9773.3,9987,10060.14
"30","central","calabaza",1921,4616,3880,8712,2883,922,320,219,448,451,179,629,228,145,419,92,614,786,1621,2989.75,2938.7,2720,2814.35,5198.85,6050.9,5906.25,7340.5,6949,7093.5,6550.8,8011,8702.1,8924.05,10766.45,11441.78,11708,12752.49
"31","central","camote",512,218,664,632,865,577,489,347,402,465,545,521,452,391,245,286,357,322,308,380,424,378.5,506,334.5,392.5,595.5,694.7,650,480,555.5,516,648,702.9,748.9,780.3,856,929.27
"32","central","cana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6176,7264.28
"33","central","cana de azucar",NA,202,NA,NA,NA,134,167,130,123,185,106,70,81,160,99,275,5581,3769,4124,287214,284159.03,267312.71,278568.75,284528.69,286628.75,294972.68,284284.34,293591.66,295468.18,282518.11,306513.68,305872.15,316638.91,333010.21,312352.79,4570,320303.22
"34","central","canola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,837,559,1356,2094,1694.5,1449,2015.61,1912.96,1461.17,1612,1700.5,429,673,316.1
"35","central","capulin",5314,5250,5118,2221,730,797,217,153,117,217,243,79,133,129,80,89,111.8,112,83,83.8,82.8,81.8,76.1,57.1,57,49.2,45.9,46.2,85.2,81.2,94.2,89.2,84.7,85.2,84.7,80,73.4
"36","central","carambolo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,14,14,14,14,28,30,29,15,11,9,8
"37","central","cartamo",2411,164,NA,226,2894,1463,597,41,4,NA,390,30,NA,NA,NA,20,30,NA,310,670,1500,660,760,960,520,80,2570,410,NA,350,207,NA,NA,NA,460,621,NA
"38","central","cebada",197752,194791,162396,237010,218656,215846,186353,208523,170887,190851,183877,163669,168331,135485,72867,142056,177852,180309,190199,159738.03,223467.75,216947.35,192273.84,226036.93,216231.5,220518.53,233545.61,200783.36,222744.16,169746.3,190451.09,143320.12,226597.59,234572.2,208791.94,202663,202014.68
"39","central","cebolla",6534,4412,6582,6598,7352,7134,8096,6507,8581,8385,8946,10093,7172,8113,8439,6965,7274.5,6107,6467,9011,8945,9637.5,9188.7,7557.5,8566.45,8016,6724.15,6547.9,7071.35,6605.9,6637,6559.6,6634.5,7590.5,8035.03,7554,8954.98
"40","central","cebollin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,36,33,123,78,303,369,369,275,394,427,523,537,547,578.2,604.5,606.5,594,621,653.25,692,787,NA,790,NA
"41","central","centeno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2,4,25,25,17,17,17,17,NA,20,18,22,25,30
"42","central","cereza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,26
"43","central","chabacano",945,921,1074,941,273,253,136,141,145,74,143,128,152,150,127,150,145,145,19,46,71,70,69.7,69.7,63.7,61.7,60.7,50.2,50.2,50.2,50.2,44.2,43.35,42.85,77.65,87,87.25
"44","central","chayote",122,15,86,NA,66,561,598,463,458,485,479,661,735,1129,1123,803,1076,883,1044,652,1764,1158.94,1516.25,1229.5,1135,1528,1559,1118,1831,1813,1755,2241,2109.7,2062.5,2133,2102,2485.4
"45","central","chia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,30,30,30,336,460,468,390
"46","central","chicharo",12773,13743,7999,7140,6282,7852,7242,7239,6668,7326,6768,7150,8359,5652,5882,6923,9057,8476,7785,8226,8128.5,8149.15,7911.5,8479,9350.75,9529.5,12255.5,9136.5,8817.5,8570.2,8732.66,8063.11,10398.5,9952.5,11435.3,10721,9913.16
"47","central","chilacayote",NA,NA,NA,NA,NA,NA,NA,NA,NA,16,100,81,188,198,36,61,199,199,204,224,206,194,351,301,342,287,332,320,186,179,185,164,169,185,202.5,150,87.5
"48","central","chile",14920,11790,14233,11701,10070,16986,13245,11779,19022,17930,12105,11589,15640,15061,12838,11207,10991,10031,10525,10585.17,11253,10994.8,9777.5,9941.5,10109.7,9751.9,11583.4,11517.86,11333.2,10884.6,10853.6,11879.79,11680.1,10864.45,11118.6,11702,11820.14
"49","central","chirimoya",623,566,695,181,25,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30,29.5,29.5,29.5,57,59,14,47,29,28,24,21,21
"50","central","cilantro",998,783,1260,1003,1108,1272,1439,1987,1774,1008,1297,2055,1761,1764,1519,1749,2138,1916,2669,2401,2276.75,2928.71,2581.6,2522.4,2758.4,3453.9,3371.9,3451,2868.5,2901,3117.02,3328.79,3675.25,3995,3119.5,3669,3799.03
"51","central","ciruela",7057,7387,7950,8106,7816,6368,6860,5571,3596,4590,4425,5496,5112,4943,5085,5146,5455,5591,5408,5872,5909.5,5974,5978,5972.5,5931.9,6131.95,6098.35,6152.6,4766.35,4415.15,4492.15,4641.55,4836.35,4791.15,4799.95,4776,4859.23
"52","central","coco",2381,68500,72300,86700,75461,73166,489,527,527,2205,NA,591,596,2194,382,382,627,617,382,582,583,558,538,468,554,714,749,767.5,754.58,772,772,771,339,339,338.5,341,341
"53","central","col",511,485,1213,735,1155,1093,1887,2059,2049,1870,2517,2006,2041,2651,2193,1838,1695,2884,3083.5,3555,2265.5,3464.6,2950.4,2495.9,2372.5,2376.5,2320.5,2185,2110,2047.4,2165.92,2452.99,2447.5,2158.5,2029.5,2344,2479.26
"54","central","col de bruselas",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,12,NA,NA,NA,25,25,3,17,117,78,117,52,60,57,58,56.5,164.2,83,80.5,99,103.25,98,29.5,105,84.8
"55","central","coliflor",127,92,220,19,86,536,398,460,799,810,1022,744,659,685,628,567,517,796,1034.5,1881.1,1363.5,1493.4,991,1054,1101.5,1167.2,1019.5,1189,1387,2045.7,1725,1622.5,1433,1282,1130.16,1394,1443.88
"56","central","colza",NA,NA,NA,NA,NA,2,28,7,4,50,70,211,549,621,1801,971,1135,599,NA,NA,NA,67,215,149,NA,210,NA,10,NA,NA,NA,NA,10,11,NA,11,7
"57","central","comino",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","central","corozo",NA,NA,NA,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","central","durazno",8310,8274,8310,9104,6727,5999,5696,5068,4917,6714,6391,7197,6152,6039,5895,6533,6500.3,6818,6999,7893,7864,8395.5,9056.3,9810.8,10408.3,10535.15,10910.4,10699.17,12078.35,11793.05,11974.3,11107.9,10954.51,11029.11,10965.61,10834,10166.81
"60","central","ejote",4091,2690,2758,2224,2744,2458,2885,3116,2777,3893,3321,3737,3302,3365,2827,4055,4061,4508,3558,3381.16,4974,6186,7041.2,6624.1,6205.69,6119.8,6358.2,6075.85,5988.8,5858.7,5662.66,5009.67,5659.35,6007.6,6534.6,6175,6677.6
"61","central","elote",8331,2375,9987,11521,12316,11343,12379,11200,13978,13558,12706,14024,12592,11782,13879,15924,12895,14679,13195,13399,13972.55,14181,21455.8,21627,23579.5,24172.66,23348.3,25664.25,25404.5,24328.5,26500.53,27427.2,29747.4,29693.9,34243.57,35447,34447.23
"62","central","epazote",32,45,50,35,NA,24,15,59,67,83,84,117,103,91,49,37,123,140,128,107,144,137,120,139.5,123,138,139,129,174,164,163,156,133,133,118,152,176.5
"63","central","esparrago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"64","central","espinaca",224,253,602,383,859,496,766,981,943,660,575,926,559,814,848,875,937,922,1005,1206,1263,1466.78,1077,828.4,730.4,748.5,732.5,712.5,736,758.5,761.38,1277.01,1210.2,1070.29,965.04,1086,1106.7
"65","central","frambuesa",NA,NA,NA,NA,NA,NA,2,2,2,2,NA,3,4,4,5,5,45,42,46.5,45.5,68.5,67.5,62.5,62,59,59.75,59.25,54.25,48.75,51.75,45.25,44.25,32.25,27.5,26.75,26,21.25
"66","central","fresa",43,20,82,111,145,152,147,103,227,159,113,221,133,147,124,126,119,133,151.75,132.75,220,235,216.3,246,182,246.55,284,265,247,253,257,317,326,335,416.5,441,578
"67","central","frijol",201358,216360,166574,185774,150191,150001,146555,133959,150565,148424,209426,193527,167887,164936,173213,171799,188290,165420,187214.1,154923.98,170070.64,186544.25,179540.7,190678.35,172071.17,169942.23,196933.12,185253.73,184404.33,132746.64,168168.32,135564.62,164100.46,168053.73,155027.09,152709,145717.55
"68","central","garbanzo",552,469,434,NA,273,660,486,709,417,13,8,375,463,621,577,594,514,276,479,608,625.5,771,916,688,748,744,683,1267,619,646,577,481,572,554,582.5,603,569.98
"69","central","girasol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.11
