"","region","crop_group","FAO_crop","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","central","Beverage crops and spices","Anise, badian, fennel, coriander",1088,828,1321,1020,1123,1272,1456,1987,1774,1008,1297,2055,1761,1764,1519,1749,2138,1916,2669,2401,2276.75,2928.71,2581.6,2522.4,2758.4,3453.9,3371.9,3451,2868.5,2901,3117.02,3328.79,3675.25,3995,3119.5,3669,3799.03
"2","central","Beverage crops and spices","Cocoa, beans",266,271,177,85,85,NA,NA,11,113,NA,NA,NA,28,34,54,142,230,230,245,245,245,245,245,186,250,246,261,240,240,240,240,240,238,235,235,237,237
"3","central","Beverage crops and spices","Coffee, green",191570,194157,204713,218668,178465,202407,267691,286076,316074,277223,221009,239823,246392,275841,297454,302721,298074,294692,283256.5,299233,300606.94,288816.28,290796.28,301624.09,306993.82,303362.04,304535.75,308732.36,302542.89,301183.27,285038.07,271003.86,272510.69,266349.7,265441.01,262044,256069.83
"4","central","Beverage crops and spices","Ginger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,267,100,21,86,267,256,256,NA,NA,NA,NA,37,37,37,4,7,5,3
"5","central","Beverage crops and spices","Pepper (piper spp.)",573,573,573,585,591,591,398,211,200,NA,NA,NA,58,58,58,508,3902,1601,4171,4179,1923,1837,1862.5,1864,2049,2056,2123,2108.5,2141.5,2014.5,834,837.5,839.5,937.5,941.5,1019,1329
"6","central","Beverage crops and spices","Peppermint",17,12,45,13,15,30,34,85,55,39,55,68,47,32,32,10,10,10,10,10,11,18,18,18,10,18,18,18,22.5,22.5,22.5,22.5,32.5,27.5,24,28,30.2
"7","central","Beverage crops and spices","Spices, nes",5,NA,NA,NA,NA,NA,203,221,421,210,281,275,467,514,154,515,121,190,23,15,27,53,95,57,46.2,48,69.5,76.9,66,68,69,57,136.3,184.9,102.7,166,216.8
"8","central","Beverage crops and spices","Tea",1,NA,NA,NA,NA,NA,5,6,1,NA,18,16,17,9,1,2,1,NA,17,15,12,26,27,28,26,34.5,34.5,35.5,74.5,74.5,73.5,43.5,2,NA,45,25,25
"9","central","Beverage crops and spices","Tea nes",18,5,6,18,30,2,9,4,4,51,79,45,210,159,109,114,53,117,129,155,121,297,260,576,487,536,640,813,755,708,854,855,882.5,901,824.5,743,938.7
"10","central","Beverage crops and spices","Vanilla",412,217,407,395,397,265,297,390,800,963,946,1036,1336,1383,538,529,863,1677,1640,1557,454,406,356.75,489.25,537.57,571,567.82,974.9,1001.05,931,888.35,828.5,807,747,781,788,821
"11","central","Cereals","Barley",197752,194791,162396,237010,218656,215846,186353,208523,170887,190851,183877,163669,168331,135485,72867,142056,177852,180309,190199,159738.03,223467.75,216947.35,192273.84,226036.93,216231.5,220518.53,233545.61,200783.36,222744.16,169746.3,190451.09,143320.12,226597.59,234572.2,208791.94,202663,202014.68
"12","central","Cereals","Cereals, nes",NA,NA,435,10,60,601,415,795,613,891,803,653,488,626,784,809,1372,2830,1763,3182,3074,3134,2512,1369,1965,1999,2112,2013,2998,2949,3072,2859.1,3289.8,3646.5,4954.2,6301,4469.2
"13","central","Cereals","Maize",2481798,2693621,2080257,2519567,2582286,2759273,2230249,2432699,2253176,2604132,2683369,2514165,2575246,2343498,2683240,2721717,2831180,2489232,2576468.45,2472591.81,2649121.73,2706048.67,2367594.75,2458794.68,2511560.67,2234212.31,2523611.99,2417773.85,2535245.94,2168014.04,2456370.28,2102118.35,2504878.55,2429360.49,2472431.13,2401218,2559790.42
"14","central","Cereals","Millet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
